title,price,tourist,dianping,percent,subtitle
<华东五市-乌镇双飞5日游>专享乌镇年夜饭，五星纯玩0购，网红拈花湾客栈赠禅意灯光秀，枕水乌镇南浔西塘赠双游船，口碑导游，50餐标,2368,1466,406人,97,长沙出发机票可选| 南京成团| 南京进上海出 全程0购物 五星酒店 杭州西湖 禅意拈花湾 烟雨长廊西塘...
<华东五市-杭州-乌镇-苏州园林双飞6日游>专享乌镇年夜饭，全程五星，夜枕乌镇，禅意拈花湾，三水乡乌镇西塘南浔，赠双游船，0购物,2635,1466,406人,97,长沙出发机票可选| 南京成团| 南京进上海出 江南客栈 南京自由活动 纯玩0购物 拈花湾夜景 乌镇南浔...
<乌镇-西塘2日游>住宿可升级，赏日夜西塘美景，枕水乌镇，感受江南双水乡魅力，门票全含纯玩，报名即享汉服馆免费穿汉服游西塘及酒吧券,315,829,159人,97,南京成团| 古镇水乡 纯玩0购物 乌镇东栅 周末度假 
<乌镇1日游>上门接，赠伴手礼，枕水人家，来过便不曾离开，真正纯玩深度漫游，乌镇等你来撩,165,864,172人,97,上海成团| 中国六大古镇 纯玩足够深度 追忆似水年华 一天吃吃逛逛 休闲时光 不赶...
<浙江嘉兴西塘-乌镇2日游>周末度假好去处，宿乌镇直营酒店（含1早1晚餐），可多次入园，深度纯玩，忆江南，双水乡古镇日夜全景新玩法,484,1696,336人,93,上海成团| 360度漫游 二次入园 宿在乌镇 水乡深度游 轻松惬意 
<苏州-乌镇-杭州3日游>深度纯玩，2早1正，宿乌镇直营客栈，赏西栅日夜全景，多次入园，一天一座城，精选5A园林，升级苏州品牌酒店，西湖游船,603,1770,381人,95,上海成团| 升级品牌酒店 赠西湖游船 一天一座城 西栅日夜美 一车到底 专车专导 
<苏州-乌镇-杭州3日游>深度纯玩，宿景区内枕水度假酒店，赏西栅日夜全景，一天一座城，精选双5A园林，含西湖游船,799,1082,156人,95,上海成团| 宿西栅内酒店 乌镇日夜全景 一天一座城 专车专导 乌镇西栅 升级住宿 
<华东六市+乌镇双高5日游>0购2晚五星客栈丨拈花湾华灯夜色汉服游园丨沉浸乌镇昼与夜丨四面环水周庄丨西湖登岛1元实景丨旅拍留存时光丨水乡年夜饭,1898,1.9万,6460人,95,郑州出发| 南京成团| 宁进沪出 纯玩0购物 苏州留园 1晚宿西栅客栈 50高餐标
<乌镇东栅+西栅夜景1日游>上海出发乌镇东西栅欣赏夜景纯玩,289,53,9人,100,上海成团
<上海迪士尼-华东五市-乌镇双飞6日游>五星纯玩0购，Disney嗨玩1整天，宿网红拈花湾客栈西栅客栈，三水乡赠送双游船,3570,1045,269人,97,长沙出发机票可选| 南京成团| 南京进上海出 船游西湖 享特色餐 两晚特色客栈 五星酒店 拈花湾夜景 
